course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio,community_avg_rating,community_review_count,community_avg_comment_length,latest_review_at
CHN3419,经贸口语（1）,人文学院,2.0,2,1,33,18.0,1,必修,morning,0.0,0.0,,,,
CHN3420,经贸写作,人文学院,2.0,1,1,36,36.0,1,必修,mixed,0.0,0.0,,,,
CHN3421,商务汉语综合（1）,人文学院,4.0,1,1,72,36.0,1,必修,morning,0.0,0.0,,,,
CHN3422,经济学原理（A类）,人文学院,4.0,1,1,76,39.0,1,必修,evening,0.0,0.0,,,,
CHN3427,金融汉语综合（1）,人文学院,4.0,1,1,6,3.0,1,必修,morning,0.0,0.0,,,,
CHN3433,综合英语（B类）（3）,人文学院,2.0,1,1,34,43.0,1,必修,afternoon,0.0,0.0,,,,
CHN3501,实验语音学,人文学院,2.0,1,1,18,20.0,1,必修,afternoon,0.0,0.0,,,,
CHN3502,中国古代文学批评史,人文学院,2.0,1,1,27,35.0,1,必修,mixed,0.0,0.0,,,,
CHN3503,中国古代散文选读,人文学院,2.0,1,1,54,60.0,1,限选,mixed,0.0,0.0,5.0,2.0,172.0,2026/01/13 01:39
CHN3507,佛教与中国文学,人文学院,2.0,1,1,4,35.0,1,限选,morning,0.0,0.0,4.2,10.0,147.1,2026/03/04 14:36
CHN3521,传统文体写作,人文学院,2.0,1,1,15,20.0,1,限选,mixed,0.0,0.0,3.0,1.0,385.0,2025/09/20 13:16
CHN3620,创意写作（高阶）,人文学院,2.0,1,1,14,20.0,1,必修,mixed,0.0,0.0,,,,
CHN3627,应用文写作,人文学院,2.0,1,1,14,20.0,1,必修,morning,0.0,0.0,,,,
CHN3702,欧美文学经典,人文学院,2.0,1,1,60,60.0,1,限选,mixed,0.0,0.0,5.0,1.0,235.0,2026/01/15 22:06
CHN3721,东亚文学经典,人文学院,2.0,1,1,28,35.0,1,限选,afternoon,0.0,0.0,5.0,2.0,11.0,2026/01/22 17:47
CHN3724,西方文学史（3）,人文学院,2.0,1,1,32,35.0,1,必修,morning,0.0,0.0,5.0,3.0,75.0,2026/03/05 00:38
CHN4101,西方文论,人文学院,2.0,2,1,45,31.5,1,必修,morning,0.0,0.0,,,,
CHN4401,演讲与口才,人文学院,2.0,1,1,5,9.0,1,限选,morning,0.0,0.0,5.0,3.0,80.7,2023/01/11 03:46
CHN4404,论文写作,人文学院,2.0,1,1,9,9.0,1,必修,morning,0.0,0.0,,,,
CHN4410,市场营销,人文学院,2.0,1,1,9,9.0,1,必修,afternoon,0.0,0.0,5.0,1.0,82.0,2025/06/07 17:26
CL900,《庄子》智慧与中国文化,人文学院,3.0,1,1,30,30.0,1,通识核心课程,evening,0.0,0.0,4.35,20.0,267.8,2025/06/13 13:52
FL2210,英语听说（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0,,,,
FL3312,现代汉语读写,人文学院,2.0,1,1,17,77.0,1,"必修,限选",morning,0.0,0.0,,,,
FL3349,中国现当代文学经典选读,人文学院,2.0,1,1,15,60.0,1,必修,afternoon,0.0,0.0,,,,
HI021,二战与中国,人文学院,2.0,1,1,27,60.0,1,公共选修课,mixed,0.0,0.0,4.556,9.0,140.6,2023/10/10 14:15
HIS1008,哥伦布大交换与现代世界的形成,人文学院,3.0,1,1,33,50.0,1,通识核心课程,evening,0.0,0.0,1.0,4.0,151.5,2025/09/21 11:45
HIS1017,中国历史地理,人文学院,2.0,1,1,45,45.0,1,通识核心课程,mixed,0.0,0.0,,,,
HIS1501,科学技术史,人文学院,2.0,1,1,26,35.0,1,"必修,限选",afternoon,0.0,0.0,4.0,1.0,100.0,2022/05/19 17:43
HIS1503,世界近现代史,人文学院,3.0,1,1,8,50.0,1,必修,evening,0.0,0.0,,,,
HIS1505,中国近代史专题研究,人文学院,3.0,1,1,7,50.0,1,必修,evening,0.0,0.0,4.0,1.0,184.0,2023/01/18 09:50
HIS2201,考古学专题,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0,,,,
HIS2501,历史地理学概念,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0,,,,
HIS2502,历史学的理论与方法,人文学院,3.0,1,1,11,50.0,1,必修,evening,0.0,0.0,,,,
HU902,爱的艺术与人生,人文学院,2.0,2,1,89,45.0,1,通识核心课程,evening,0.0,0.0,3.364,33.0,193.5,2026/01/18 17:46
JC903,美学,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0,3.304,46.0,205.2,2026/01/12 10:36
LI907,传记经典导读,人文学院,2.0,1,1,153,40.0,1,通识核心课程,evening,0.0,0.0,4.812,32.0,253.4,2026/01/17 17:58
MU106,钢琴音乐,人文学院,2.0,3,3,55,18.33,1,公共选修课,mixed,0.0,0.0,4.571,14.0,172.0,2025/09/12 21:39
MU901,交响音乐鉴赏,人文学院,2.0,1,1,40,40.0,1,通识核心课程,mixed,0.0,0.0,4.167,66.0,158.0,2026/01/12 11:04
MU902,中西乐理及其应用,人文学院,2.0,2,1,60,30.0,1,通识核心课程,evening,0.0,0.0,4.19,63.0,250.1,2026/04/27 17:02
MU903,世界民族音乐鉴赏,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0,4.352,91.0,160.5,2026/03/25 23:20
MU904,中国音乐文化史,人文学院,2.0,5,2,160,40.0,1,通识核心课程,evening,0.0,0.0,4.568,81.0,188.6,2026/03/01 19:07
MUSI1003,世界民族音乐鉴赏,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0,5.0,2.0,201.0,2026/01/19 23:10
MUSI1005,西方音乐文化史,人文学院,2.0,4,2,152,38.0,1,通识核心课程,mixed,0.0,0.0,3.5,4.0,282.5,2026/04/27 17:37
MUSI1007,中国现当代歌曲歌词鉴赏与文化研究,人文学院,3.0,2,1,60,30.0,1,通识核心课程,afternoon,0.0,0.0,4.0,2.0,369.5,2026/01/07 23:08
MUSI1112,乐理基础与歌曲写作,人文学院,2.0,4,1,80,20.0,1,公共选修课,evening,0.0,0.0,3.5,4.0,375.8,2026/01/12 17:29
MUSI1113,合唱声乐,人文学院,2.0,1,1,25,25.0,1,公共选修课,evening,0.0,0.0,5.0,2.0,83.0,2025/01/13 13:49
MUSI1114,艺术歌曲演唱与技巧训练,人文学院,2.0,2,1,40,20.0,1,公共选修课,mixed,0.0,0.0,5.0,4.0,219.2,2026/01/22 15:57
MUSI1115,音乐表演实践,人文学院,3.0,1,1,20,20.0,1,公共选修课,evening,0.0,0.0,5.0,3.0,195.0,2026/01/12 18:49
MUSI1508,视唱练耳,人文学院,2.0,1,1,7,50.0,1,必修,evening,0.0,0.0,,,,
MUSI1509,西方音乐史,人文学院,2.0,1,1,7,50.0,1,必修,evening,0.0,0.0,5.0,1.0,250.0,2024/12/11 09:44
MUSI2508,作曲技术理论（1）,人文学院,3.0,1,1,6,50.0,1,必修,evening,0.0,0.0,,,,
MUSI3505,钢琴演奏基础,人文学院,2.0,1,1,2,50.0,1,限选,evening,0.0,0.0,,,,
MUSI3506,音乐分析与配器法,人文学院,2.0,1,1,10,50.0,1,必修,evening,0.0,0.0,,,,
MUSI3507,世界音乐文化,人文学院,2.0,1,1,8,50.0,1,必修,evening,0.0,0.0,,,,
MUSI3509,数字音乐制作,人文学院,2.0,1,1,20,20.0,1,限选,mixed,0.0,0.0,,,,
PAC3906,白描摹写与写生,人文学院,2.0,1,1,1,25.0,1,必修,evening,0.0,0.0,,,,
PAC3911,行书、草书、篆刻,人文学院,2.0,1,1,2,25.0,1,必修,evening,0.0,0.0,,,,
PAC4911,梅兰竹菊与创作,人文学院,2.0,1,1,3,25.0,1,必修,evening,0.0,0.0,,,,
PAC4913,明清山水,人文学院,2.0,1,1,2,25.0,1,必修,evening,0.0,0.0,,,,
PHIL1005,佛教与中国传统文化,人文学院,2.0,4,1,148,30.0,1,通识核心课程,evening,0.0,0.0,4.0,49.0,190.8,2026/01/19 14:09
PHIL1010,西方哲学史,人文学院,2.0,1,1,30,30.0,1,通识核心课程,mixed,0.0,0.0,,,,
PHIL1011,西方哲学史,人文学院,3.0,1,1,25,40.0,1,通识核心课程,evening,0.0,0.0,1.0,3.0,1085.0,2025/01/15 23:55
PHIL1017,游戏哲学,人文学院,2.0,1,1,30,30.0,1,通识核心课程,mixed,0.0,0.0,5.0,1.0,96.0,2025/06/10 15:19
PHIL1024,欧洲古典与中世纪哲学精神,人文学院,2.0,1,1,0,40.0,1,通识核心课程,evening,0.0,0.0,4.0,2.0,183.5,2025/01/13 18:36
PHIL1025,欧洲情感心理哲学专题,人文学院,2.0,1,1,0,40.0,1,通识核心课程,evening,0.0,0.0,4.0,5.0,226.6,2025/06/18 12:40
PHIL1101,西方宗教文化概论,人文学院,2.0,2,1,38,30.0,1,公共选修课,evening,0.0,0.0,,,,
PHIL1503,伦理学,人文学院,3.0,1,1,3,30.0,1,限选,evening,0.0,0.0,,,,
PHIL1504,科学哲学,人文学院,3.0,1,1,13,30.0,1,限选,evening,0.0,0.0,,,,
PHIL2503,知识论,人文学院,2.0,1,1,14,30.0,1,限选,evening,0.0,0.0,,,,
PHIL2504,现代西方哲学,人文学院,3.0,1,1,11,30.0,1,限选,evening,0.0,0.0,,,,
PHIL2505,艺术哲学,人文学院,3.0,1,1,7,30.0,1,限选,evening,0.0,0.0,,,,
PHIL3425,逻辑学,人文学院,2.0,1,1,15,15.0,1,必修,mixed,0.0,0.0,5.0,1.0,74.0,2026/01/13 23:51
PI925,西方哲学经典导读,人文学院,2.0,2,1,80,40.0,1,通识核心课程,evening,0.0,0.0,4.333,9.0,171.0,2026/01/13 14:27
PI929,儒家思想与中国文化,人文学院,2.0,1,1,40,40.0,1,通识核心课程,evening,0.0,0.0,5.0,29.0,187.9,2026/01/13 16:50
SO002,中国人文地理,人文学院,2.0,1,1,11,30.0,1,公共选修课,evening,0.0,0.0,3.0,1.0,86.0,2026/03/04 15:17
KE1101,体育（5）,体育系,1.0,9,6,159,24.44,1,公共选修课,mixed,0.0,0.0,3.542,24.0,181.6,2026/03/06 18:16
KE1313,运动生理学,体育系,3.0,1,1,23,24.0,1,必修,morning,0.0,0.0,,,,
KE1512,健康教育学,体育系,2.0,1,1,39,39.0,1,必修,morning,0.0,0.0,,,,
KE1513,体育概论,体育系,2.0,1,1,39,39.0,1,必修,morning,0.0,0.0,,,,
KE1514,体育社会学,体育系,2.0,1,1,22,24.0,1,必修,morning,0.0,0.0,,,,
KE1605,运动训练（5）,体育系,4.0,5,5,28,2.8,1,必修,morning,1.0,0.0,,,,
KE1611,专项专修（1）,体育系,6.0,9,9,0,4.67,1,必修,morning,1.0,1.0,,,,
